extinguisher	(n.) 灭火器
atlas	(n.) 地图集
slice	(n.) 薄片
leather	(n.) 皮革；皮制品
vehicle	"n.车辆；工具，手段；交通工具"
ownership	(n.) 所有权
organize	(v.) 组织；安排；整理
nephew	(n.) 侄子，外甥
disappoint	(v.) 使失望，使受挫折
maid	(n.) 女服务员
surplus	"adj.过剩的，多余的；n.过剩，盈余"
extensive	(adj.) 广泛的
rhino	(n.) 犀牛
occasionally	(adv.) 偶尔地
register	"v.注册；登记；n.现金收纳机；登记表，注册表"
form	"n.形式；方式；表格；形状；v.形成，产生，…"
butcher	"n.屠夫，肉贩子；v.屠戮，残杀"
privately	(adv.) 私下地
lame	"adj.瘸的，跛的；站不住脚的"
ban	"vt.明令禁止；n.禁止，禁令"
plateau	(n.) 高原；vi.到达平稳阶段
trend	(n.) 趋势
string	"n.条件；线；一系列；vt.串起；悬挂"
lounge	(n.) 候机室，休息室，酒吧间
violinist	(n.)小提琴演奏者，小提琴家
currency	(n.)货币
accumulate	(vt.)积攒
riddle	"n.谜，谜语；v.解谜，出谜题；使……满是弹孔"
pattern	(n.) 模型，模式；图案
layer	(n.) 层
basement	(n.) 地下室
shepherd	(n.) 牧羊人；v.带领
laundry	(n.) 洗衣店；要洗的衣服
indeed	(adv.) 的确，当然，确实
attach	(v.) 贴上，使依附；附加
bent	"v.弯腰，弯曲（bend过去式）"
northwest	"n.西北方；adj.来自西北的；adv.自西北"
consist	(v.) 由……组成
tribe	(n.) 部落
bleed	(v.) 流血
stir	(v.) 激发（兴趣）
affair	(n.) 事情，事务
terror	(n.) 恐怖，惊骇
temporarily	(adv.) 暂时地，临时地
communism	(n.) 共产主义
institution	(n.) 机构；制度
horror	(n.) 恐怖
chef	(n.) 厨师
millionaire	(n.) 百万富翁，大富翁
skeptical	(adj.) 表示怀疑的
impressive	(adj.) 给人深刻印象的
onward	(adv.) 向前
typist	(n.) （尤指专职）打字员
motivation	(n.) 动机；动力；积极性
robbery	(n.) 抢掠，抢夺
monitor	"v.监测；监督；监控；n.监测仪；显示器；监视器"
relief	"n.（不快过后的）宽慰，轻松；缓解"
assignment	(n.) （课外）作业；任务
increasingly	(adv.) 日益，越来越多地
ambitious	(adj.) 有抱负的，有野心的
coach	(n.) 教练；vt.训练，指导
particular	"adj.特定的；特别的，不寻常的；n.尤其，特别"
church	(n.) 教堂
quite	"adv.完全，相当，十分；的确，真正地"
textile	(n.) 纺织品
bureaucratic	"adj.繁文缛节的；官僚的，官僚政治的"
preserve	(v.) 保存；保护
wave	"n.涌现的人，涌现的事物；v.挥手，招手"
postcode	(n.) <英>邮政编码
seal	(vt.) 密封，把……封入
scholarship	(n.) 奖学金
arch	"n.拱洞，拱形结构；拱起；拱门；v.做成拱形"
impact	"n.影响；v.有影响（读作/ɪmˈpækt/）"
extension	(n.) 延期
conquer	(v.) 征服，攻克
erupt	"v.（火山、喷泉、蒸汽等）喷发"
cheat	(v.) 欺骗，哄骗
loudspeaker	(n.) 喇叭，扬声器，扩音器
mutton	(n.) 羊肉，羊
lane	(n.) 巷
yard	(n.) 院子，庭院
loose	(adj.) 宽松的
multicultural	(adj.) 多种文化的
participate	(vi.) 参与，参加
mathematics	(n.) （=maths）数学
arise	"vi.由……引起，发生；升起"
hydrogen	(n.) 氢，氢气
approach	"v.接近；着手处理；n.方法"
seed	(n.) 种子，籽
conventional	(adj.) 普通的，常规的
terrified	(adj.) 恐惧的
sensitive	(adj.) 敏感的
condemn	(v.) 谴责，责备
stainless	(adj.) 不生锈的，不锈钢的
admit	"v.承认；准许进入；接纳，接收（入学）"
emergency	"n.紧急情况，突发事件；adj.紧急情况下的；应急的"
reservation	"n.（住处、席位的）预订；（美国印第安部落的）居…"
range	"n.范围，界限；一系列；v.（在一定范围内）变化"
react	"vi.起反应，对……做出反应"
survey	(n.) 调查
maple	(n.) 枫树
anecdote	(n.) 轶事，趣闻
suck	"v.吮，啜，吸；n.吸吮，吸力"
object	"n.物体；对象；v.反对（读作/əbˈdʒekt/）"
prayer	(n.) 祈祷，祷告
perform	(v.) 运行；表演；表现；执行
microscope	(n.) 显微镜
scar	"n.伤疤，伤痕；内心创伤；v.给……留下伤痕"
recognize	"vt.认出，辨别；v.认可；公认"
physicist	(n.) 物理学者，物理学家
appoint	(v.) 委派，任命
stubborn	(adj.) 顽固的
sailor	(n.) 水手，海员
astonish	(vt.) 使十分惊讶
accompany	(v.) 陪伴；陪同
rejoice	(v.) 感到欣喜，感到高兴
operator	(n.) 经营者
arrangement	(n.) 安排；布置
rotten	(adj.) 腐烂的，腐朽的
profession	(n.) 职业
comment	"n.评论；v.评论，表达意见"
surrounding	(n.) 环境
thunder	(n.) 雷，雷声
