Il habite au Caire.	(他住在开罗。au=à+le)遇到介词à时，介词要与定冠词缩合
Vous êtes photographe？	您是摄影师吗？
Vous êtes française	你是法国人吗？
Vous habitez en France	您居住在法国?
Vous êtes dans le cours d'italien	您正在学习意大利语课程
son histoire	它的历史（以元音字母或哑音h开头的阴性名词前，使用阳性定冠词“mon”“ton”“son”）
adresse	地址，住址n.f.
Quelle est ton adresse	你的地址是什么？
Quelle est votre adresse	您的地址是什么？
aller	去；走；处于（某种状态）;运转，进行，进展v.i.
tu vas	你去
danseur	舞蹈家（阳性）
danseuse	舞蹈家（阴性）
boulanger	面包师傅（阳性）;面包师傅n.m.
boulangère	面包师傅（阴性）
juif	犹太的,犹太人的（阳性）
juive	犹太的,犹太人的（阴性）
informaticien	计算机编程员，信息论专家（阳性）
informaticienne	计算机编程员，信息论专家（阴性）
six enfants	六个孩子[sis]
sept	七[sɛt]
huit	八[ɥit]
neuf	九[nœf];(adj.)新的，新建的，新做的，尚未用过的；
dix	十[dis]
onze	十一[ɔ̃z]
douze	十二[du:z]
treize	十三[trɛ:z]
quatorze	十四[katɔrz]
quinze	十五[kɛ̃z]
seize personnes	十六个人[sɛz]
dix-sept	十七[dissɛt]
dix-huit	十八[dizɥit]
dix-neuf	十九[diznœf]
vingt	二十[vɛ̃t]
familier	(adj.)家庭的;亲近的,亲密的,亲热的;熟悉的;习以为常的,习惯的;通晓的
familière	(adj.)家庭的;(阴性）
neuf	九[nœf];(adj.)新的，新建的，新做的，尚未用过的；
neuve	(adj.)新的（阴性）
cher	(adj.)(m)亲爱的
chère	(adj.)(m)亲爱的（阴性）
heureux	(adj.)幸福的，美满的；快乐的;高兴的
heureuse	(adj.)幸福的，美满的；快乐的;高兴的(阴性）
l'Iran	伊朗
l'Italie	意大利
les États-Unis	美国
les Pays-Bas	荷兰
les Philippines	菲律宾
Elle habite en Iran	她住在伊朗。en+以元音开头的阳性单数国名(省略冠词）
J'habite au Japon	我住在日本。au+以辅音开头的阳性单数国名(au=à+le）
J'habite aux Philippines.	我住在菲律宾。
le Caire	(开罗)个别城市名有阴阳性之分
j'aime les vacances	我喜欢假期
une chaise	一把椅子
belge	比利时的adj.;比利时人n.Belge（首字母大写）
cours	课，课程n.m.
directeur	经理n.阳性形式
directrice	经理n.阴性形式
genève	日内瓦(瑞士)(首字母大写）
japonais	日本的adj.日本人Japonais（n.）
rendez-vous	约会，预约n.m.
sur rendez-vous	(医生接待)预约就诊(的病人)
secrétaire	秘书n.
suisse	瑞士Suisse（n.f）
sympa	（俗）给人好感的，讨人喜欢的adj.inv.
l'héroïne	女英雄；女主人公
C'est une belle voiture	这是一辆漂亮的车
La voiture est à M.Dupont	这是杜邦先生的。（表示前面已经提到过的人或事物，用定冠词la)
Vous n'avez pas de cours ce matin	你们今天上午没课吗?
Non Le professeur est malade	没有。老师病了。(表示谈话双方皆知的人或事物,用定冠词le)
La Terre est ronde	地球是圆的。（表示独一无二的事物。）
mon mari veut une voiture	我的丈夫想要一辆汽车
le restaurant est ouvert	饭馆营业中
une ville française	一个法国城市
visitons	去玩；参观（第一人称复数命令式形式)意思是“让我们参观”。
plage	沙滩
veulent	“想要”“愿意”“希望”(第三人称复数形式)“theywant”（他们想要）
château	城堡(阳性名词)
église	教堂(阴性名词)
