Il en reste 11	剩下11个
Est-ce que tu m'entends	你听到我说话吗?(entends:动词 entendre 的直陈式现在时第二人称单数变位形式)
Oui je t'entends	是的,我听到你说话了。(t': te 的变位形式, 代词 te(你)的宾格形式)
Il entend	他听到
Nous entendons	我们听到
Vous entendez	你们听到
Ils entendent	他们听到
Est-ce que tu me vois	你看到我吗?(vois:动词 voir(看见)的直陈式现在时第二人称单数变位形式)
Oui, je te vois	是的,我看到你了
Il voit	他看到
Nous voyons	我们看到
Vous voyez	你们看到
Ils voient	他们看到
l'écran	屏幕(阳性名词)(定冠词 le 在以元音音素开头的名词前,要缩合为 l' )
mon ordinateur	我的电脑(阳性名词)
Est-ce que tu vois l'écran de mon ordinateur	你看到我的电脑屏幕吗?
Oui, je le vois	是的,我看到了。(le:代词 le(它)的宾格形式)
Il est 21h à Shanghai	上海现在是21点(“21” 读作 “vingt - et - un”)
fatiguée	疲劳的(女性形式)
fatigué	疲劳的(男性形式)
Camille, est-ce que tu es fatiguée	"Camille 你累了吗?"
non, ça va	不,还好
non, je ne suis pas fatiguée	不,我不累
les repas en français	法语中的三餐
un petit-déjeuner	早餐
Le matin, on mange un petit-déjeuner	早上,我们吃早餐
Le midi, on mange un déjeuner	中午,我们吃午餐
Le soir, on mange un diner	晚上,我们吃晚餐
C'était bon	好吃吗?(être(是)的未完成过去时第三人称单数变位形式)
C'était bien	很不错
Tu as mangé dans un restaurant espagnol	你在一家西班牙餐厅吃过饭(“avoir + 过去分词” 构成复合过去时,强调动作在过去已经完成,这里就是 “你吃过” 的意思)
nés	“naître” 的过去分词的复数形式
Mes 4 grands-parents sont tous nés en Espagne	我的4个祖父母都出生在西班牙
être né	出生的(男性形式)
être née	出生的(女性形式)
Il est né en France	他出生在法国
Elle est née à Paris	她出生在巴黎
mes parents sont nés en France	我的父母都出生在法国
Moi, je suis né en France	我出生在法国
la nourriture	食物(阴性名词)
Je connais bien la nourriture espagnole	我很了解西班牙美食(connais:动词 connaître(认识)的直陈式现在时第一人称单数变位形式)
Tu connais	你了解
Il connaît	他了解
Nous connaissons	我们了解
Vous connaissez	你们了解
Ils connaissent	他们了解
du poisson	一些鱼(部分冠词 “du” 是由定冠词 “le” 和介词 “de” 缩合而成,表示不可数名词的部分,不是在强调具体有几条鱼,而是泛指吃了一些鱼肉或者一些鱼的部分)
j'ai mangé du poisson	我吃了鱼(“mangé” 是 “manger” 的过去分词,构成复合过去时,表示动作在过去已经完成)
le plat	菜,餐(阳性名词)
le plus connu	最有名的(plus:副词 “更” 的最高级形式)
Quel est le plat le plus connu en Espagne	西班牙最有名的菜是什么?(长形容词或复杂形容词后置:当形容词是多音节、较长或者是由多个词组成的形容词短语等比较复杂的形式时,一般放在名词后面。)
La paëlla	西班牙海鲜饭(“paëlla” 这个词源自西班牙语 “paella”,原意是 “平底锅”,用这种平底锅烹制的食物,后来就专门用来指代海鲜饭这道菜肴)
Voulez-vous commander la paëlla	您想点海鲜饭吗?(voulez-vous:动词 vouloir(想要)的直陈式现在时第二人称复数变位形式)
Un hamburger	一个汉堡包
la pizza	披萨(阴性名词)
J'aime la pizza	我喜欢披萨
Quand j'étais petite	当我还小的时候(étais:être(是)的未完成过去时第一人称单数变位形式)
Tous les jours, je fais un peu mes devoirs	每天,我都会做一点儿作业
Je déteste les devoirs	我讨厌做作业
Tout le monde déteste ça	每个人都讨厌做作业(“ça” 是 “cela” 的缩写,指代前面提到的事物)
pour le nouvel an chinois	为了庆祝中国新年
Tu as eu combien d'argent pour le nouvel an chinois	你过年收到了多少压岁钱?(“Tu as eu” 是 “avoir” 的复合过去时,表示 “你有了” )
C'est...qui...	是一个强调句型,用来强调主语是谁,意思是 “是...谁...”
C'est ma mère qui sait	这我妈妈知道(“savoir”:je sais, tu sais, il/elle/on sait, nous savons, vous savez, ils/elles savent。)
J'ai mangé dans un restaurant espagnol	我在一家西班牙餐厅吃过饭
J'ai fait mes devoirs	我做了作业
quel jour	疑问短语,用来询问具体的日期或星期,在句中作时间状语
Tu vas à l'école quel jour	你星期几去上学?
Lundi 17 février	“2月17日星期一”
Je vais à l'école le lundi	我星期一去上学
Tu ne sais pas combien il te reste de vacances	你不知道你还有多少假期吗?("te" 指代动作的接受者,即假期剩给你的部分。)
La semaine prochaine, qu'est-ce que tu fais	下周你干什么?
pareil	一样(形容词)
pareil que cette semaine	和这周一样
tu aimes bien être en vacances	你喜欢放假吗?
qu'est-ce que tu préfères	你更喜欢什么?
les vacances	假期(阴性名词)
J'adore les vacances	我喜欢假期
l'école	学校(阴性名词)
J'aime beaucoup l'école	我很喜欢学校
Hier	昨天(副词)
après le cours	下课后,上完课后
Hier, après le cours, je suis allé voir un biopic	昨天,下课后,我去看了一部传记片("allé" 是动词 "aller" 的过去分词,表示“去”。)
