existait	存在(exister)的过去式
façons	方式(façon)的复数
se quitter	分手(自反动词,表相互动作)
Quelques	一些,几片
éclats	碎片,碎玻璃(eclat)的复数=英语"shards"
auraient...pu	可能会(avoir...pu)
peut-être	或许=英语"perhaps"
amer	苦涩的,痛苦的
j'ai décidé	我决定了(decider的过去时)
pardonner	原谅,宽恕=英语"forgive"
erreurs	错误,过失(error)的复数
s'aimer	相爱(自反动词,表相互动作)
réclamait	索求,要求(reclamer的过去时)
Presque	几乎,差不多=英语"almost"
bordais	掖被(border的未完成过去时)
protégeais	保护(proteger的未完成过去时)
Je t'ai volé	我偷走了(voler的过去时)
ce sang	这份血
n'aurait pas dû	不该(avoir...dû的否定式)
partager	“分享”
À bout de mots	词穷
de rêves	梦尽
je vais crier	我要大声呼喊(aller...crier的近将来时)
un fou	疯子=英语"a madman"
un soldat	士兵=英语"a soldier"
D'accord, il existait d'autres façons de se quitter	“好吧,也许还有别的分手方式。”
Quelques éclats de verre auraient peut-être pu nous aider	“几片碎玻璃或许能帮到我们。”
Dans ce silence amer, j'ai décidé de pardonner	“在这苦涩的沉默里,我决定原谅。”
Les erreurs qu'on peut faire à trop s'aimer	“因爱太深而可能犯下的错。”
D'accord, la petite fille en moi, souvent te réclamait	“好吧,我心中的小女孩常向你索求。”
Presque comme une mère, tu me bordais, me protégeais	“你像母亲般替我掖被、护我周全。”
Je t'ai volé ce sang qu'on n'aurait pas dû partager	“我偷走了那本不该共享的血。”
À bout de mots, de rêves, je vais crier	“词穷梦尽,我要大声呼喊。”
Comme un fou, comme un soldat	“像疯子,像士兵。”
Comme une star de cinéma	“像电影明星。”
Comme un loup, comme un roi	“像狼,像国王。”
Comme un homme que je ne suis pas	“像那个我不是的男人。”
Tu vois, je t'aime comme ça	“你看,我就是如此爱你。”
Je t'aime, je t'aime	“我爱你,我爱你。”; “我爱你,我爱你。”
une fenêtre	一扇窗户
J'aime les fleurs	我喜欢花
Elle ouvrent les fenêtres	她们打开窗户
Il ouvre la porte	他打开门
Mon chien est blanc	我的狗是白色的
Alice est très gentille	爱丽丝非常和善
une voiture blanche	一辆白色的汽车
Il y a un salon dans ma maison	我的房子里有一个客厅
une vache	一头奶牛
Les fleurs sont blanches	花是白色的
Alice est ma voisine	爱丽丝是我的邻居
