diverse (adj.) 多样的
shave "v.剃（须发），刮脸；n.剃须，修面"
constant (adj.) 持续不断的
establish "v.建立；使成为；确立；创立"
enthusiastic "adj.狂热的，极感兴趣的；热情的"
gorilla (n.) 大猩猩
Switzerland (n.) 瑞士
contemporary (adj.) 当代的，现代的
grave "adj.严肃的，庄重的；n.墓"
convince (vt.) 使信服
ape (n.) 类人猿
greed (n.) 贪欲，贪婪；贪吃
current (adj.) 当前的，现在的
greengrocer (n.) 蔬菜水果商
dial (n.) 仪表盘
grizzly (n.) 灰熊；adj.灰色的
goods (n.) 货物，商品
define (v.) 给（词、短语等）下定义
circumstance (n.) 情况；环境
evident "adj.显然的，明显的，明白的"
seminar (n.) 研讨会
carry out (phr.) 开展
evolve (v.) （使）逐渐发展；进化
forum (n.) 论坛
gram (n.) 克
grand "adj.大的；壮丽的，宏伟的，宏大的"
awkward (adj.) 尴尬的
racial (adj.) 种族的；人种的
accord (n.) 协议；vt.授予
associate "v.关联；联系；与......有关；adj.副的；n.伙伴…"
boast "v.吹嘘；夸耀；（地方、机构等）自豪地拥有（好的…"
glare (n.) 眩目的光；v.怒目而视
commissioner (n.) 委员，专员，理事
burden (n.) 负担
congress (n.) 国会
adjust (v.)调整，调节;适应
metropolitan (adj.)大城市的，大都会的
feature "n.特征，特点，特色;v.以..….为主要组成
association "n.协会，联盟，社团;关联，联想"
overcome (vt.)克服
exceed (v.)超过
force "v.强迫;n.力量;军队，部队”
famine (n.)饥荒;严重的缺乏
fertilizer (n.)肥料，化肥
apparently (adv.) 显然
genuine (adj.) 真的；真正的；真诚的
acknowledge (vt.) 承认；认可
fragile "adj. 易碎的；易损坏的；虚弱的；脆弱的"
sow (v.) 播种；种
motivate (vt.) 激励
precisely "adv. 准确地；精确地；恰恰"
fence (n.) 篱笆， 围栏 ，栅栏
fertile (adj.) 肥沃的
overnight "adv. 整夜 ，一夜之间 ，突然（读作/ ˌouvər ˈnaɪt/） …"
mass "adj. 大量的；n. 大量 ，一堆； [物]质量"
fuel (n.) 燃料；v. 加强；激起
chaos (n.) 混乱 ，纷乱
efficiency (n.)效率
obvious "adj.明显的，显而易见的;了无新意的;平
budget (n.)预算;v.预算 ，安排
dread "v.惧怕，害怕;n.畏惧，恐惧;adi.恐怖的使…"
administration (n.) 管理 ，行政
anxiety (n.) 焦虑
drawer (n.) 抽屉
garlic (n.) 大蒜
assess (vt.) 评估
economics (n.) 经济学；经济情况
engage (v.) 参加；使订婚
disadvantage	(n.) 弊端
set	"v.创建，建立；调整好；（小心地）放置；n.一…"
diverse	(adj.) 多样的
shave	"v.剃（须发），刮脸；n.剃须，修面"
grocer	(n.) 食品杂货商
species	(n.) 物种
ecology	(n.) 生态
guilty	(adj.) 内疚的
effective	(adj.) 有效的
constant	(adj.) 持续不断的
establish	"v.建立；使成为；确立；创立"
exist	(vi.) 存在
encounter	"vt.邂逅，偶遇；n.相遇，邂逅"
enthusiastic	"adj.狂热的，极感兴趣的；热情的"
give in	(phr.) 屈服
haircut	(n.) 理发；发型
expense	"n.开销，开支；花费，费用；代价"
max	"abbr.<非正式>最大的，最大限度的（同maximum）"
extend	(v.) 扩展；延长；提供，给予
discourage	(vt.) 阻拦；阻止；使泄气
facility	(n.) 设施，设备
gorilla	(n.) 大猩猩
Switzerland	(n.) 瑞士
return	(v.) 返回；归还；n.回报
consult	(v.) 咨询
graph	"n.（曲线）图，图表；vt.用曲线图表示，把…绘入…"
athletic	(adj.) 运动的，体育的
container	(n.) 容器
gratitude	(n.) 感激，感谢
contemporary	(adj.) 当代的，现代的
grave	"adj.严肃的，庄重的；n.墓"
design	(n.) 设计；v.设计
convince	(vt.) 使信服
cope	(vi.) 处理，应对
vacation	(n.) 假期
farm	(n.) 农场，饲养场；v.养殖
aware	(adj.) 意识到的
creativity	(n.) 创造力
ape	(n.) 类人猿
greed	(n.) 贪欲，贪婪；贪吃
credibility	"n.可靠性，可信性，确实有效性"
farmland	(n.) 农田
helmet	(n.) 头盔
current	(adj.) 当前的，现在的
deadline	(n.) 截止日期，最后日期
Greek	"adj.希腊的，希腊人的，希腊语的"
medium	"n.媒介；adj.中等的；中号的"
casual	(adj.) 随便的
greengrocer	(n.) 蔬菜水果商
greeting	(n.) 问候，致敬
dial	(n.) 仪表盘
firm	(n.) 公司；adj.坚定的
grizzly	(n.) 灰熊；adj.灰色的
creature	(n.) 生物；人
goddess	(n.) 女神
goose	(n.) 鹅
carpet	(n.) 地毯
wag	"v.摇动；n.摇摆；爱说笑的人"
chain	(n.) 连锁店，连锁集团
goods	(n.) 货物，商品
define	(v.) 给（词、短语等）下定义
firework	(n.) 烟花，烟火
circumstance	(n.) 情况；环境
evident	"adj.显然的，明显的，明白的"
gossip	"n.流言蜚语；爱传流言的人；v.闲聊，传播流言…"
favor	(n.) 帮助；v.青睐
combination	(n.) 结合，联合
seminar	(n.) 研讨会
combine	(v.) （使）结合
gradual	(adj.) 逐渐的
committee	(n.) 委员会
graduation	(n.) 毕业，毕业典礼
carry out	(phr.) 开展
evolve	(v.) （使）逐渐发展；进化
fitness	(n.) 健康，健壮
grain	(n.) 质感
forum	(n.) 论坛
gram	(n.) 克
consequently	(adv.) 因此，结果
grand	"adj.大的；壮丽的，宏伟的，宏大的"
unexpected	(adj.) 想不到的 ，意外的
visual	(adj.) 视力的 ，视觉的
friction	(n.) 摩擦 ，摩擦力
conductor	(n.) 指挥；售票员
annoy	(v.) 使烦恼 ，使生气
funeral	(n.) 丧葬 ，葬礼
frost	"n.霜冻，严寒；v.撒上糖霜"
catch up with	(phr.)赶上
frown	(v.)皱眉；不赞成；n.皱眉
stare	(v.)盯，凝视
fulfil	"v.实现，履行，实践（=fulfill）"
zone	"n.地带，空间，地区，区域，范围"
absorb	(v.)吸收；理解，掌握
funnel	"n.漏斗；烟囱；v.（使）成漏斗形"
furnish	"v.（用家具等）布置（房间、公寓等）"
stage	(n.)舞台；阶段
adequate	(adj.)足够的，充分的
diversity	(n.)多样性，差异，不同
herd	(n.) 兽群 ，牧群
nation	(n.) 民族，  国家
facial	(adj.) 面部的
guidance	(n.) 指导，  引导
fairly	(adv.) 相当地
outcome	(n.) 结果 ，后果
enterprise	"n. 企业（或事业）  单位 ，公司"
