jazz	(n.) 爵士乐
tu prends la voiture	你乘坐汽车吗？
un restaurant	一家饭馆
Montréal	蒙特利尔（加拿大主要港市）
le restaurant espagnol	那家西班牙饭馆
berlin	柏林
c'est une gare francaise	这是一座法国火车站
chanson	歌曲
tu vas à l'aéroport	你去这个机场
Elle	她
Je	我
un	一
joli	漂亮的
mon	我的
fils	儿子
bébé	宝宝
mange	吃
fromage	奶酪
aime	喜欢
deux	二
sexual	(adj.) 性别的；性的；性感的
roughly	(adv.) 大约，粗略地
vacant	(adj.) 空缺的
musician	(n.) 音乐家，作曲家
visa	(n.) 签证
participant	(n.) 参与者，参加者
bench	(n.) 长凳
article	(n.) 文章
rocket	(n.) 火箭，火箭弹
AIDS	"abbr.艾滋病，获得性免疫缺陷综合征"
tight	(adj.) 严密的；紧张的
sideways	"adv.向侧面地；侧；斜着地；adj.旁边的；斜着…"
express	(v.) 表达；adj.快速的
frequent	"adj.时常的，频繁的（读作/ˈfrikwənt/）"
tense	(adj.) 紧张的
feast	(n.) 盛宴，特别的享受
schedule	"n.时间表，计划表；v.预订，安排"
Mexico	(n.) 墨西哥
boxing	(n.) 拳击；盒式包装
skim	(v.) 掠过，滑过
flashlight	(n.) 手电筒
minimum	"adj.最少的，最低（限度）的；n.最低限度，最小量"
incident	(n.) 事件
aviation	(n.) 航空，航空学
garment	(n.) 服装
recover	"v.恢复；痊愈，恢复健康；收回"
knot	"n.绳结，结合，树的节；v.打结"
area	(n.) 区域，地区
equipment	(n.) 设备，器材
rank	"v.排名；n.地位；等级，级别"
habitat	(n.) 栖息地，生活环境
studio	(n.) 工作室
businessman	(n.) 商人
academy	(n.) 学院
neither	"adv.既不……也不……；pron.两者都不"
properly	(adv.) 适当地；正确地
root	"n.根，根茎，根部；根源；词根；v.使固定"
imaginative	(adj.) 富于想象力的；想象的
airspace	(n.) 领空
composer	(n.) 作曲家
arbitrary	"adj.随意的，任性的，随心所欲的"
phenomenon	(n.) 现象
salesgirl	(n.) 女售货员
Midwestern	(adj.) 美国中西部的
actual	(adj.) 实际的，真实的
specialist	(n.) 专家
summary	(n.) 摘要，总结
wander	"v.闲逛，漫步；n.闲逛，漫步"
crew	"n.（有专门技术的）一组工作人员，（飞机、轮船等…"
tease	(v.) 取笑，打趣
tremble	(v.) 颤抖，哆嗦
refer	(v.) 谈及，提到
division	"n.分，分配；除法；部门；分裂"
lend	(v.) 借给（某人钱或东西）
revise	(v.) 修改
crowd	"n.一伙人；人群，观众；v.挤满"
clinic	(n.) 诊所，门诊部
raw	(adj.) 未加工的；原始的
tomb	(n.) 墓穴，坟墓
dormitory	(n.) 宿舍
certainty	(n.) 必然的事；确信
residence	(n.) 住宅
doubtful	(adj.) 怀疑的，疑惑的
absolute	(adj.) 完全的；绝对的
tsunami	(n.) 海啸
faith	(n.) 信心
sharpen	"v.削尖；磨快；使敏捷；使提高"
greedy	"adj.贪婪的，贪心的，贪吃的"
handkerchief	(n.) 手帕；方巾
exploration	(n.) 探索
content	"n.内容；含量；（书、讲话、节目等的）主题；目…"
handy	"adj.手巧的；方便的；伸手可及的"
text	(n.) 文本，文章
hardworking	(adj.) 勤勉的
folk	(n.) 民众；民间音乐
conclude	(v.) 推断出
apron	(n.) 围裙
hastily	(adv.) 急速地，慌忙地
function	"n.功能，作用，用途，机能；v.工作，运转"
general	"adj.普遍的，总的；一般的，普通的；全面的；常…"
hasty	"adj.匆忙的；仓促完成的；草率的"
dioxide	(n.) 二氧化物
hatch	(vi.) 孵出，孵
guest	(n.) 客人，宾客；特邀嘉宾
heading	"n.标题（用于文章或章节开头）；v.head的现在分词"
memorial	"n.纪念物，纪念碑，纪念仪式"
Greece	(n.) 希腊
organism	(n.) 有机体，生物
atmosphere	(n.) 氛围，气氛；大气；空气
geology	(n.) 地质学
alcoholic	(adj.) 含酒精的
geometry	(n.) 几何学；几何形状
awkward	(adj.) 尴尬的
germ	"n.细菌；（某事的）发端，萌芽"
racial	(adj.) 种族的；人种的
accord	(n.) 协议；vt.授予
apart	"adv.成碎片；分离地，分开地；相隔，相距"
professional	(adj.) 专业的；n.专业人员
laptop	(n.) 笔记本电脑
ham	(n.) 火腿
giant	(adj.) 巨大的，特大的
associate	"v.关联；联系；与......有关；adj.副的；n.伙伴…"
gifted	(adj.) 有天赋的；有才华的
tractor	(n.) 拖拉机，牵引车
boast	"v.吹嘘；夸耀；（地方、机构等）自豪地拥有（好的…"
glance	(n.) 一瞥，扫视；v.看一下
glare	(n.) 眩目的光；v.怒目而视
outdrive	(v.) 驾车快于
glory	(n.) 光荣，荣誉
commissioner	(n.) 委员，专员，理事
burden	(n.) 负担
instrument	(n.) 仪器；乐器
congress	(n.) 国会
entertainment	(n.) 娱乐
adjust (v.)调整，调节;适应
circuit(n.)电路，线路
fluent(adj.)(语言)讲得流利的
metropolitan(adj.)大城市的，大都会的
feature "n.特征，特点，特色;v.以..….为主要组成
association"n.协会，联盟，社团;关联，联想"
geologist(n.)地质学家
stewardship"n.管理员、服务员等的职位和职责
aggressive(adj.)有攻击性的;好斗的
adolescent(n.)青少年;adi. 青春期的
theme(n.)主题
effort (n.)努力;力气，精力
scent (n.)气味
host"n.主人，东道主;节目主持人;大量;v.主持，主办”
overcome(vt.)克服
energize (v.)使..精力充沛
bill "n. 账单;纸币 ，钞票;议案 ，法案”
equality(n.)同等，:平等;【数】 等式
eruption(n.)喷发
exceed (v.)超过
force"v.强迫;n.力量;军队，部队”
explicit(adj.)明确的
wheat(n.)小麦
energetic"adi.精力充沛的 ，充满活力的"
condition"n.条件;状况，状态;v使适应，使处于良好状态”
rise"v.升起，上升，上涨;增长;升高 …"
convenience(n.)方便;便利设施
famine(n.)饥荒;严重的缺乏
destination(n.)目的地
entertaining(adi.)有趣的，令人愉快的使变成粉
powder(n.)粉末;火药:细雪;.抹粉:酒粉于
access"n.(使用或见到的)机会，权利;接触，通道;访问”
endeavor"n.尝试 ，努力 ，尽力;v.努力 ，尽力
dozen(num.)许多;一打，十二个
category(n.)类别
gather (v.聚集;收集:采集:使.聚集
infer 推断vt.
advancements 进步，进展，升任
easy-going(adj.)随和的
fasten(v.)扎牢;扣住
fertilizer (n.)肥料，化肥
